,,,,,,,,,,,,,,,,,,,,
,UMC,Cosmo Palmer,9.85,M,2025-11-11,,https://www.instagram.com/p/DQ7yQGnDpi7/,Ryan Ford,,,,,,,,,,,,
,TIVOLI,Benati Louvouezo,6.80,M,2025-11-08,,https://youtube.com/shorts/lfLMMWKYR94,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Benati Louvouezo,8.63,M,2025-11-07,,https://youtube.com/shorts/wdkVYHfEhlY,Ryan Ford,,,,,,,,,,,✅,
,HIGHLAND,Benati Louvouezo,8.16,M,2025-11-07,,https://youtube.com/shorts/k9hNukf1U5o,Ryan Ford,,,,,,,,,,,✅,
,HIGHLAND,Olof Wood,8.96,M,2025-11-07,,,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Pete Peterson,17.30,M,2025-11-07,,,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Vanessa Sherk,37.60,F,2025-11-07,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Vanessa Sherk,35.03,F,2025-11-07,,,Ryan Ford,,,,,,,,,,,,
,MCILVOY,Karl Ford,27.68,M,2025-11-04,,,Ryan Ford,,,,,,,,,,,,
,MCILVOY,Anne Brown,32.07,F,2025-11-04,,,Ryan Ford,,,,,,,,,,,,
,YORK,Olof Wood,15.26,M,2025-10-27,,https://youtube.com/shorts/d8h6aZ-4mNc,Ryan Ford,,,,,,,,,,,,
,YORK,Taylor Carpenter,24.25,M,2025-10-27,,https://youtube.com/shorts/vOP59SBEueo,Ryan Ford,,,,,,,,,,,,
,HILL,Taylor Carpenter,18.96,F,2025-10-25,,,Ryan Ford,,,,,,,,,,,,
,HILL,Amy Jepsen,67.85,F,2025-10-25,,,Ryan Ford,,,,,,,,,,,,
,SPEER,Olof Wood,13.91,M,2025-10-22,,https://youtube.com/shorts/zrjz6_lE430,Ryan Ford,,,,,,,,,,,,
,SPEER,Michael Sliger,18.11,M,2025-10-22,,,Ryan Ford,,,,,,,,,,,,
,SPEER,Ryan Ford,26.44,M,2025-10-22,,,Taylor Carpenter,,,,,,,,,,,,
,SPEER,Sean Hannah,27.71,M,2025-10-22,,,Ryan Ford,,,,,,,,,,,,
,MCILVOY,Olof Wood,8.33,M,2025-10-21,,https://youtube.com/shorts/y04_uYbCcUg,Ryan Ford,,,,,,,,,,,,
,MCILVOY,Taylor Carpenter,11.80,F,2025-10-21,,https://youtube.com/shorts/baGS85-RITo,Ryan Ford,,,,,,,,,,,,
,UMC,Amy Jepsen,25.94,F,2025-10-20,,,Ryan Ford,,,,,,,,,,,,
,MCILVOY,Joey Jepsen,9.09,M,2025-10-20,,https://youtube.com/shorts/0u4tHc1MnAI,Ryan Ford,,,,,,,,,,,,
,MCILVOY,Amy Jepsen,25.52,F,2025-10-20,,,Ryan Ford,,,,,,,,,,,,
,GARRISON,Joey Jepsen,10.97,M,2025-10-18,,https://youtube.com/shorts/vZDEGqUwDhA,Ryan Ford,,,,,,,,,,,,
,GARRISON,Kaden Lebsack,11.99,M,2025-10-18,,,Ryan Ford,,,,,,,,,,,,
,GARRISON,Michael Sliger,13.05,M,2025-10-18,,,Ryan Ford,,,,,,,,,,,,
,GARRISON,Max Feinberg,14.15,M,2025-10-18,,,Ryan Ford,,,,,,,,,,,,
,GARRISON,Amy Jepsen,40.64,F,2025-10-18,,,Ryan Ford,,,,,,,,,,,,
,STUART,Joey Jepsen,10.89,M,2025-10-18,,https://youtube.com/shorts/Jm3Ivo-0FJo,Ryan Ford,,,,,,,,,,,,
,STUART,Kaden Lebsack,12.69,M,2025-10-18,,,Ryan Ford,,,,,,,,,,,,
,STUART,Max Feinberg,15.05,M,2025-10-18,,,Ryan Ford,,,,,,,,,,,,
,STUART,Michael Sliger,15.29,M,2025-10-18,,,Ryan Ford,,,,,,,,,,,,
,STUART,Amy Jepsen,57.50,F,2025-10-18,,https://www.instagram.com/p/DRcLQM2EUxY/,Ryan Ford,,,,,,,,,,,,
,BLACK HILLS,Taylor Carpenter,16.59,F,2025-10-08,,https://youtube.com/shorts/o_IXibM5tIU,Ryan Ford,,,,,,,,,,,,
,UH3,Taylor Carpenter,13.46,F,2025-09-25,,,Ryan Ford,,,,,,,,,,,,
,PCRC,Ryan Ford,14.22,M,2025-09-24,,,Taylor Carpenter,,,,,,,,,,,,
,PCRC,Taylor Carpenter,13.42,F,2025-09-24,,,Ryan Ford,,,,,,,,,,,,
,UNLV,Joey Jepsen,9.91,M,2025-09-18,,https://youtube.com/shorts/AKkYIj1Mw4o,Ryan Ford,,,,,,,,,,,,
,UNLV,Ryan Ford,14.80,M,2025-09-18,,,Taylor Carpenter,,,,,,,,,,,,
,UNLV,Taylor Carpenter,14.76,F,2025-09-18,,https://youtube.com/shorts/oMpw6CmhlqQ,Ryan Ford,,,,,,,,,,,,
,WINCHESTER,Joey Jepsen,10.16,M,2025-09-17,,https://youtube.com/shorts/FDM3IpvJQx8,Ryan Ford,,,,,,,,,,,,
,WINCHESTER,Taylor Carpenter,13.57,F,2025-09-17,,,Ryan Ford,,,,,,,,,,,,
,USH,Benati Louvouezo,10.62,M,2025-09-16,,https://youtube.com/shorts/gO3VagwBKIs,Ryan Ford,,,,,,,,,,,,
,USH,Taylor Carpenter,17.47,F,2025-09-16,,,Ryan Ford,,,,,,,,,,,,
,UU2,Benati Louvouezo,12.86,M,2025-09-14,,https://youtube.com/shorts/gBBunEKEAIw,Ryan Ford,,,,,,,,,,,,
,UU2,Aidan Goddard,13.79,M,2025-09-14,,,Ryan Ford,,,,,,,,,,,,
,UTAH,Benati Louvouezo,16.10,M,2025-09-14,,https://youtube.com/shorts/EDYHyGnCif4,Ryan Ford,,,,,,,,,,,,
,GALLIVAN,Benati Louvouezo,16.28,M,2025-09-13,,https://youtube.com/shorts/r1zfrPaG99c,Ryan Ford,,,,,,,,,,,,
,GALLIVAN,Ryan Ford,19.82,M,2025-09-13,,,Taylor Carpenter,,,,,,,,,,,,
,GALLIVAN,Taylor Carpenter,20.15,F,2025-09-13,,https://youtube.com/shorts/nmvqTUcGusQ,Ryan Ford,,,,,,,,,,,,
,UU1,Benati Louvouezo,14.22,M,2025-09-12,,https://youtube.com/shorts/ye1Y3yHp7AM,Ryan Ford,,,,,,,,,,,,
,UU1,Taylor Carpenter,23.20,F,2025-09-12,,https://youtube.com/shorts/xDpvkMJVIAo,Ryan Ford,,,,,,,,,,,,
,RHODES 1,Ryan Ford,11.97,M,2025-09-10,,https://youtube.com/shorts/yGPoKlXLpUA,Taylor Carpenter,,,,,,,,,,,,
,RHODES 1,Taylor Carpenter,13.60,F,2025-09-10,,,Ryan Ford,,,,,,,,,,,,
,GAS WORKS 2,Alex Shackleton,9.50,M,2025-09-08,,https://youtube.com/shorts/AG8UqkvtCNU,Ryan Ford,,,,,,,,,,,,
,GAS WORKS 2,Scott Bringe,11.56,M,2025-09-08,,,Ryan Ford,,,,,,,,,,,,
,GAS WORKS 2,Jared Ching,13.16,M,2025-09-08,,,Ryan Ford,,,,,,,,,,,,
,GAS WORKS 2,Taylor Carpenter,13.96,F,2025-09-08,,https://youtube.com/shorts/NBf58XrobHA,Ryan Ford,,,,,,,,,,,,
,DAIRY,Taylor Carpenter,14.38,F,2025-09-04,,https://youtube.com/shorts/jr-m68EVg5g,Ryan Ford,,,,,,,,,,,,
,STEAMSHIP,Ryan Ford,21.40,M,2025-08-27,,https://youtube.com/shorts/XN_fptTlUDQ,Taylor Carpenter,,,,,,,,,,,,
,STEAMSHIP,Taylor Carpenter,21.44,F,2025-08-27,,,Ryan Ford,,,,,,,,,,,,
,COAL HARBOUR,Benati Louvouezo,11.36,M,2025-08-24,,https://youtube.com/shorts/0FlULlojwJY,Ryan Ford,,,,,,,,,,,,
,COAL HARBOUR,Luis Faz,11.64,M,2025-08-24,,,Ryan Ford,,,,,,,,,,,,
,COAL HARBOUR,Joey Jepsen,12.54,M,2025-08-24,,,Ryan Ford,,,,,,,,,,,,
,COAL HARBOUR,Alex Shackleton,12.56,M,2025-08-24,,,Ryan Ford,,,,,,,,,,,,
,IRON WORKS,Luis Faz,7.34,M,2025-08-24,,https://youtube.com/shorts/bgKwKnAl5Fg,Ryan Ford,,,,,,,,,,,,
,IRON WORKS,Joey Jepsen,7.62,M,2025-08-24,,,Ryan Ford,,,,,,,,,,,,
,IRON WORKS,Alex Shackleton,8.99,M,2025-08-24,,,Ryan Ford,,,,,,,,,,,,
,CORDATA,Joey Jepsen,12.27,M,2025-08-20,,https://youtube.com/shorts/-eIEL0uNhas,Ryan Ford,,,,,,,,,,,,
,CORDATA,Keenan Wilkinson,19.26,M,2025-08-20,,,Ryan Ford,,,,,,,,,,,,
,CORDATA,Keir Kelley,25.38,M,2025-08-20,,,Ryan Ford,,,,,,,,,,,,
,CORDATA,Keith Jepsen,31.30,M,2025-08-20,,,Ryan Ford,,,,,,,,,,,,
,CORDATA,Di Li,50.33,M,2025-08-20,,,Ryan Ford,,,,,,,,,,,,
,FREEWAY 2,Matt Jang,11.12,M,2025-08-19,,https://youtube.com/shorts/kjM0ESl-Tmw,Ryan Ford,,,,,,,,,,,,
,FREEWAY 2,Alex Shackleton,11.71,M,2025-08-19,,,Ryan Ford,,,,,,,,,,,,
,FREEWAY 2,Taylor Carpenter,15.25,F,2025-08-19,,https://youtube.com/shorts/gPOipCD9Be4,Ryan Ford,,,,,,,,,,,,
,JEFFERSON,Benati Louvouezo,8.43,M,2025-08-15,,,Bonnie Baxter,,,,,,,,,,,,
,UW,Taylor Carpenter,18.72,F,2025-08-12,,https://youtube.com/shorts/boD5AMuB_tA,Ryan Ford,,,,,,,,,,,,
,UW,Ryan Ford,18.54,M,2025-08-12,,,Ryan Ford,,,,,,,,,,,,
,SHOREWOOD,Alex Shackleton,16.16,M,2025-08-11,,https://youtube.com/shorts/0wmbOET73Ko,Ryan Ford,,,,,,,,,,,,
,SHOREWOOD,Nicholas Van Swol,21.70,M,2025-08-11,,,Ryan Ford,,,,,,,,,,,,
,SHOREWOOD,Cody Winter,25.92,M,2025-08-11,,,Ryan Ford,,,,,,,,,,,,
,SHOREWOOD,Taylor Carpenter,26.32,F,2025-08-11,,,Ryan Ford,,,,,,,,,,,,
,COTTONWOOD 2,Bobby Houser,21.22,M,2025-07-27,,,,,,,,,,,,,,,
,COTTONWOOD 2,Evan Wilson,22.39,M,2025-07-27,,,,,,,,,,,,,,,
,UW,Benati Louvouezo,13.33,M,2025-07-27,,https://youtube.com/shorts/MWXG9xO55iU,Ryan Ford,,,,,,,,,,,,
,UW,Alex Shackleton,15.17,M,2025-07-27,,https://www.instagram.com/p/DMo9VqyAKE7/,Ryan Ford,,,,,,,,,,,,
,UW,Scott Bringe,16.62,M,2025-07-27,,,Ryan Ford,,,,,,,,,,,,
,UW,Tommi Thor,19.22,M,2025-07-27,,,Ryan Ford,,,,,,,,,,,,
,UW,Payton Hanna,20.25,M,2025-07-27,,,Ryan Ford,,,,,,,,,,,,
,UW,Nicholas Van Swol,20.83,M,2025-07-27,,,Ryan Ford,,,,,,,,,,,,
,UW,Berto Graham,20.97,M,2025-07-27,,,Ryan Ford,,,,,,,,,,,,
,UW,Freddy Román,30.22,M,2025-07-27,,,Ryan Ford,,,,,,,,,,,,
,UW,Mark Esparagoza,31.72,M,2025-07-27,,,Ryan Ford,,,,,,,,,,,,
,UW,Sascha Beyer,41.25,M,2025-07-27,,,Ryan Ford,,,,,,,,,,,,
,UW,Di Li,54.55,M,2025-07-27,,,Ryan Ford,,,,,,,,,,,,
,UW,Jane Bellousov,23.35,F,2025-07-27,,https://www.instagram.com/p/DMt_e8-xQKM/,Ryan Ford,,,,,,,,,,,,
,UW,Morgan Jordahl,38.56,F,2025-07-27,,,Ryan Ford,,,,,,,,,,,,
,FREEWAY 1,Benati Louvouezo,9.09,F,2025-07-26,,https://youtube.com/shorts/iEmqmOIXmMA,Ryan Ford,,,,,,,,,,,,
,FREEWAY 1,Ash Whitworth,11.02,M,2025-07-26,,https://www.instagram.com/p/DMmaQ40Osoa/,Ryan Ford,,,,,,,,,,,,
,FREEWAY 1,Noah Roell,12.32,M,2025-07-26,,,Ryan Ford,,,,,,,,,,,,
,FREEWAY 1,Jordan Llanillo,13.13,M,2025-07-26,,,Ryan Ford,,,,,,,,,,,,
,FREEWAY 1,Zach Harris,13.48,M,2025-07-26,,,Ryan Ford,,,,,,,,,,,,
,FREEWAY 1,Berto Graham,13.83,M,2025-07-26,,,Ryan Ford,,,,,,,,,,,,
,FREEWAY 1,James Larson,13.87,M,2025-07-26,,,Ryan Ford,,,,,,,,,,,,
,FREEWAY 1,Nicholas Van Swol,14.50,M,2025-07-26,,,Ryan Ford,,,,,,,,,,,,
,FREEWAY 1,René Scavington,14.54,M,2025-07-26,,,Ryan Ford,,,,,,,,,,,,
,FREEWAY 1,Caleb,14.91,M,2025-07-26,,,Ryan Ford,,,,,,,,,,,,
,FREEWAY 1,Cody Winter,15.74,M,2025-07-26,,,Ryan Ford,,,,,,,,,,,,
,FREEWAY 1,Kole Yager,23.10,M,2025-07-26,,,Ryan Ford,,,,,,,,,,,,
,FREEWAY 1,Di Li,46.24,M,2025-07-26,,,Ryan Ford,,,,,,,,,,,,
,PSU,Benati Louvouezo,13.74,M,2025-07-19,,https://youtube.com/shorts/k9ms3o93Rl8,Ryan Ford,,,,,,,,,,,,
,PSU,Ash Whitworth,17.50,M,2025-07-19,,,Ryan Ford,,,,,,,,,,,,
,PSU,Daniel Brogli,19.49,M,2025-07-19,,https://www.instagram.com/p/DMWZ5aEJ1x2/,Ryan Ford,,,,,,,,,,,,
,PSU,Nicholas Van Swol,20.58,M,2025-07-19,,https://www.instagram.com/p/DMVn2PrP6XT,Ryan Ford,,,,,,,,,,,,
,PSU,Liam Pettee,21.35,M,2025-07-19,,,Ryan Ford,,,,,,,,,,,,
,KELLER,Benati Louvouezo,8.91,M,2025-07-19,,https://youtube.com/shorts/aWhUoJDvV7s,Ryan Ford,,,,,,,,,,,,
,KELLER,Jupiter Ceilidh,9.48,M,2025-07-19,,,Ryan Ford,,,,,,,,,,,,
,KELLER,Ash Whitworth,10.50,M,2025-07-19,,,Ryan Ford,,,,,,,,,,,,
,KELLER,Alex Shackleton,11.05,M,2025-07-19,,,Ryan Ford,,,,,,,,,,,,
,KELLER,Brandon Latocki,15.05,M,2025-07-19,,,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Bekah Jackson,11.59,F,2025-06-30,,https://youtube.com/shorts/RSOysGF7FOA,Ryan Ford,,,,,,,,,,,✅,
,GARRISON,Bekah Jackson,14.88,F,2025-06-24,,https://youtube.com/shorts/HGZxdJqZ7ew,Ryan Ford,,,,,,,,,,,,
,GARRISON,Vanessa Sherk,37.67,F,2025-06-24,,,Ryan Ford,,,,,,,,,,,,
,TP,Taylor Carpenter,15.00,F,2025-06-16,,,Ryan Ford,,,,,,,,,,,,
,PDN,Pedro Velus,19.88,M,2025-06-15,,https://youtube.com/shorts/u528YFwIfGY,Ryan Ford,,,,,,,,,,,,
,PDN,Koa McLagan,37.60,M,2025-06-15,,,Ryan Ford,,,,,,,,,,,,
,PDN,Taylor Carpenter,25.69,F,2025-06-15,,,Ryan Ford,,,,,,,,,,,,
,HORTA 2,Pedro Velus,13.54,M,2025-06-14,,https://youtube.com/shorts/1BsFz6BaaaE,Ryan Ford,,,,,,,,,,,,
,HORTA 2,Taylor Carpenter,18.34,F,2025-06-14,,https://youtube.com/shorts/mEo8IpIa4IA,Ryan Ford,,,,,,,,,,,,
,HORTA 1,Pedro Velus,18.53,M,2025-06-14,,https://youtube.com/shorts/5RNZbWZg07U,Ryan Ford,,,,,,,,,,,,
,HORTA 1,Luís Alkmim,19.76,M,2025-06-14,,,Ryan Ford,,,,,,,,,,,,
,HORTA 1,Taylor Carpenter,26.24,F,2025-06-14,,https://youtube.com/shorts/z-9H2ssfSmo,Ryan Ford,,,,,,,,,,,,
,SHELL FARM,Pedro Salgado,11.47,M,2025-06-13,,,Ryan Ford,,,,,,,,,,,,
,SHELL FARM,Luís Alkmim,12.50,M,2025-06-13,,,Ryan Ford,,,,,,,,,,,,
,SHELL FARM,Taylor Carpenter,15.26,F,2025-06-13,,https://youtube.com/shorts/VBArkAsGuw0,Ryan Ford,,,,,,,,,,,,
,RED WALLS,Edson Miguel,10.75,M,2025-06-12,,https://www.youtube.com/shorts/admdm7vX6Ts,Ryan Ford,,,,,,,,,,,,
,RED WALLS,Pedro Salgado,10.83,M,2025-06-12,,https://www.instagram.com/p/DK4dmJmt3kh/,Ryan Ford,,,,,,,,,,,,
,RED WALLS,Luís Alkmim,11.94,M,2025-06-12,,,Ryan Ford,,,,,,,,,,,,
,RED WALLS,Ryan Ford,15.87,M,2025-06-12,,,Ryan Ford,,,,,,,,,,,,
,RED WALLS,Taylor Carpenter,15.84,F,2025-06-12,,,Ryan Ford,,,,,,,,,,,,
,YELLOW WALLS,Luís Alkmim,18.80,M,2025-06-11,,https://youtube.com/shorts/yxf1aHI6rPU,Ryan Ford,,,,,,,,,,,,
,YELLOW WALLS,Taylor Carpenter,24.86,F,2025-06-11,,https://youtube.com/shorts/of6zido50KY,Ryan Ford,,,,,,,,,,,,
,GROUND ZERO,Edson Miguel,14.38,M,2025-06-10,,https://www.youtube.com/shorts/pKasFTx6i5c,Ryan Ford,,,,,,,,,,,,
,GROUND ZERO,Leon van der Zouwen,14.63,M,2025-06-10,,,Ryan Ford,,,,,,,,,,,,
,GROUND ZERO,Luís Alkmim,15.61,M,2025-06-10,,,Ryan Ford,,,,,,,,,,,,
,GROUND ZERO,Eli Ackerman,29.68,M,2025-06-10,,,Ryan Ford,,,,,,,,,,,,
,GROUND ZERO,Leon Tranter,35.00,M,2025-06-10,,,Ryan Ford,,,,,,,,,,,,
,GROUND ZERO,Miguel Rodrigues,37.15,M,2025-06-10,,,Ryan Ford,,,,,,,,,,,,
,GROUND ZERO,Corin Hoskin,38.16,M,2025-06-10,,,Ryan Ford,,,,,,,,,,,,
,GROUND ZERO,Tiago Rodrigues,47.35,M,2025-06-10,,,Ryan Ford,,,,,,,,,,,,
,GROUND ZERO,Taylor Carpenter,19.37,F,2025-06-10,,,Ryan Ford,,,,,,,,,,,,
,GROUND ZERO,Luana Hauptmann,24.02,F,2025-06-10,,,Ryan Ford,,,,,,,,,,,,
,GROUND ZERO,Emilia Francois,31.28,F,2025-06-10,,,Leon van der Zouwen,,,,,,,,,,,,
,GROUND ZERO,Azalea Hamilton,39.38,F,2025-06-10,,,Ryan Ford,,,,,,,,,,,,
,WHALE TAIL,Edson Miguel,14.12,M,2025-06-09,,https://www.youtube.com/shorts/I6SPJjED01I,Ryan Ford,,,,,,,,,,,,
,WHALE TAIL,Leon van der Zouwen,15.73,M,2025-06-09,,,Ryan Ford,,,,,,,,,,,,
,WHALE TAIL,Taylor Carpenter,21.29,F,2025-06-09,,,Ryan Ford,,,,,,,,,,,,
,WHALE TAIL,Emilia Francois,30.07,F,2025-06-09,,,Leon van der Zouwen,,,,,,,,,,,,
,KAOS,Luís Alkmim,14.93,M,2025-06-07,,https://youtube.com/shorts/QkF8EBTLdK8,Ryan Ford,,,,,,,,,,,,
,KAOS,Ryan Ford,17.84,M,2025-06-07,,https://www.instagram.com/p/DLdE9d9RRhn/,Taylor Carpenter,,,,,,,,,,,,
,KAOS,Dean Philp,18.74,M,2025-06-07,,https://www.instagram.com/p/DKnWlZjMBJT/,Ryan Ford,,,,,,,,,,,,
,KAOS,Taylor Carpenter,18.84,F,2025-06-07,,https://youtube.com/shorts/0N-MMeepAnQ,Ryan Ford,,,,,,,,,,,,
,BAR SPOT,Edson Miguel,10.75,M,2025-06-07,,https://www.youtube.com/shorts/IYnDgIsgMa4,Ryan Ford,,,,,,,,,,,,
,BAR SPOT,Pedro Velus,11.64,M,2025-06-07,,,Ryan Ford,,,,,,,,,,,,
,BAR SPOT,Luís Alkmim,12.22,M,2025-06-07,,,Ryan Ford,,,,,,,,,,,,
,BAR SPOT,Dean Philp,19.30,M,2025-06-07,,https://www.instagram.com/p/DKpTawrIKbP/,Ryan Ford,,,,,,,,,,,,
,BAR SPOT,Taylor Carpenter,19.15,F,2025-06-07,,https://youtube.com/shorts/kMjQabW_BXQ,Ryan Ford,,,,,,,,,,,,
,PONTINHA,Luís Alkmim,19.33,M,2025-06-06,,https://youtube.com/shorts/KdIDtCw4Yb0,Ryan Ford,,,,,,,,,,,,
,TP,Luís Alkmim,10.60,M,2025-06-05,,https://youtube.com/shorts/D1M25DJL3EE,Ryan Ford,,,,,,,,,,,,
,TP,Ryan Ford,18.36,M,2025-06-05,,,Taylor Carpenter,,,,,,,,,,,,
,EAGLETON,Jesse Clark,12.48,M,2025-06-01,,,,,,,,,,,,,,,
,EAGLETON,Erik Reynolds,14.28,M,2025-06-01,,,Jesse Clark,,,,,,,,,,,,
,EAGLETON,Michael Lesh,16.67,M,2025-06-01,,,Jesse Clark,,,,,,,,,,,,
,EAGLETON,Sebastian Cunningham,17.24,M,2025-06-01,,,Jesse Clark,,,,,,,,,,,,
,EAGLETON,Josiah Schmidt,17.67,M,2025-06-01,,,Jesse Clark,,,,,,,,,,,,
,EAGLETON,Edward Chang,18.71,M,2025-06-01,,,Jesse Clark,,,,,,,,,,,,
,EAGLETON,Patrick Burgess,24.91,M,2025-06-01,,,Jesse Clark,,,,,,,,,,,,
,EAGLETON,Robert Borno,27.62,M,2025-06-01,,,Jesse Clark,,,,,,,,,,,,
,EAGLETON,Ellison Carter,22.16,F,2025-06-01,,,Jesse Clark,,,,,,,,,,,,
,EAGLETON,Anna Matl,23.81,F,2025-06-01,,,Jesse Clark,,,,,,,,,,,,
,HILL,Jared Nahulu,16.71,M,2025-05-25,,https://youtube.com/shorts/5LivSRltaQw,Ryan Ford,,,,,,,,,,,,
,HILL,Austin Lutz,19.16,M,2025-05-25,,,,,,,,,,,,,,,
,UMC,Joey Jepsen,7.25,M,2025-05-16,,https://youtube.com/shorts/bF_bNavwmGs,Ryan Ford,,,,,,,,,,,,
,UMC,Ryan Ford,10.42,M,2025-05-16,,,Taylor Carpenter,,,,,,,,,,,,
,UMC,Bekah Jackson,9.12,F,2025-05-16,,https://youtube.com/shorts/o_0kMgdwHOM,Ryan Ford,,,,,,,,,,,,
,UMC,Taylor Carpenter,9.79,F,2025-05-16,,,Ryan Ford,,,,,,,,,,,,
,TIVOLI,Michael Sliger,10.57,M,2025-05-11,,,Ryan Ford,,,,,,,,,,,,
,TRAX,Joey Jepsen,13.01,M,2025-05-04,,,Amy Jepsen,,,,,,,,,,,,
,TRAX,Keith Jepsen,18.75,M,2025-05-04,,,Joey Jepsen,,,,,,,,,,,,
,TRAX,Amy Jepsen,31.42,F,2025-05-04,,,Joey Jepsen,,,,,,,,,,,,
,TRAX,Kirsten Kuhns,38.59,F,2025-05-04,,,Joey Jepsen,,,,,,,,,,,,
,OLDE TOWN,Taylor Carpenter,18.19,F,2025-04-28,,https://youtube.com/shorts/qAqBpaynAQk,Ryan Ford,,,,,,,,,,,,
,OLDE TOWN,Amy Jepsen,85.56,F,2025-04-28,,https://www.instagram.com/p/DJDcvcSNAEN/,Ryan Ford,,,,,,,,,,,,
,CUSCATLÁN 2,Walter Lemus,16.09,M,2025-04-20,,https://youtube.com/shorts/PwryUSUzcb8,Ryan Ford,,,,,,,,,,,,
,CUSCATLÁN 2,Bryan Pocasangre,17.14,M,2025-04-20,,,Ryan Ford,,,,,,,,,,,,
,CUSCATLÁN 2,Hyugo Trigueros,17.47,M,2025-04-20,,,Ryan Ford,,,,,,,,,,,,
